Date,Open,High,Low,Close,Adj Close,Volume
1975-11-17,0.0,8.71875,8.71875,8.71875,3.151357650756836,53200
1975-11-18,0.0,8.96875,8.96875,8.96875,3.2417187690734863,106800
1975-11-19,0.0,8.5625,8.5625,8.5625,3.094881534576416,170400
1975-11-20,0.0,8.4375,8.4375,8.4375,3.049698829650879,61200
1975-11-21,0.0,8.4375,8.4375,8.4375,3.049698829650879,64000
1975-11-24,0.0,8.40625,8.40625,8.40625,3.0384018421173096,88400
1975-11-25,0.0,8.375,8.375,8.375,3.027108669281006,75200
1975-11-26,0.0,8.4375,8.4375,8.4375,3.049698829650879,89200
1975-11-28,0.0,8.5,8.5,8.5,3.072291374206543,95600
1975-12-01,0.0,8.25,8.25,8.25,2.9819271564483643,102400
1975-12-02,0.0,7.875,7.875,7.875,2.846386432647705,78400
1975-12-03,0.0,7.5,7.5,7.5,2.710843563079834,86400
1975-12-04,0.0,7.5,7.5,7.5,2.710843563079834,48800
1975-12-05,0.0,7.4375,7.4375,7.4375,2.6882567405700684,62800
1975-12-08,0.0,7.4375,7.4375,7.4375,2.6882567405700684,87600
1975-12-09,0.0,7.4375,7.4375,7.4375,2.6882567405700684,158800
1975-12-10,0.0,7.46875,7.46875,7.46875,2.6995491981506348,99600
1975-12-11,0.0,7.5,7.5,7.5,2.710843563079834,62400
1975-12-12,0.0,7.875,7.875,7.875,2.846386432647705,116400
1975-12-15,0.0,7.84375,7.84375,7.84375,2.835089921951294,170800
1975-12-16,0.0,7.96875,7.96875,7.96875,2.8802716732025146,110400
1975-12-17,0.0,8.03125,8.03125,8.03125,2.902862787246704,92800
1975-12-18,0.0,8.0625,8.0625,8.0625,2.914156675338745,81200
1975-12-19,0.0,8.0,8.0,8.0,2.8915669918060303,130800
1975-12-22,0.0,8.0,8.0,8.0,2.8915669918060303,67200
1975-12-23,0.0,8.03125,8.03125,8.03125,2.902862787246704,59600
1975-12-24,0.0,7.8125,7.8125,7.8125,2.823796510696411,135200
1975-12-26,0.0,7.84375,7.84375,7.84375,2.835089921951294,46800
1975-12-29,0.0,7.75,7.75,7.75,2.80120587348938,52800
1975-12-30,0.0,7.71875,7.71875,7.71875,2.7899105548858643,54000
1975-12-31,0.0,7.71875,7.71875,7.71875,2.7899105548858643,34800
1976-01-02,0.0,7.875,7.875,7.875,2.846386432647705,71600
1976-01-05,0.0,7.96875,7.96875,7.96875,2.8802716732025146,104400
1976-01-06,0.0,8.3125,8.3125,8.3125,3.004518985748291,132800
1976-01-07,0.0,8.125,8.125,8.125,2.9367480278015137,120000
1976-01-08,0.0,8.125,8.125,8.125,2.9367480278015137,85200
1976-01-09,0.0,8.125,8.125,8.125,2.9367480278015137,59600
1976-01-12,0.0,8.125,8.125,8.125,2.9367480278015137,48800
1976-01-13,0.0,8.03125,8.03125,8.03125,2.902862787246704,112400
1976-01-14,0.0,8.125,8.125,8.125,2.9367480278015137,90000
1976-01-15,0.0,8.0,8.0,8.0,2.8915669918060303,174000
1976-01-16,0.0,8.0,8.0,8.0,2.8915669918060303,14400
1976-01-19,0.0,8.03125,8.03125,8.03125,2.902862787246704,56000
1976-01-20,0.0,8.0625,8.0625,8.0625,2.914156675338745,59200
1976-01-21,0.0,8.0,8.0,8.0,2.8915669918060303,62000
1976-01-22,0.0,7.9375,7.9375,7.9375,2.8689770698547363,52800
1976-01-23,0.0,7.875,7.875,7.875,2.846386432647705,42800
1976-01-26,0.0,7.53125,7.53125,7.53125,2.7221391201019287,84400
1976-01-27,0.0,7.5,7.5,7.5,2.710843563079834,272000
1976-01-28,0.0,7.6875,7.6875,7.6875,2.7786145210266113,212000
1976-01-29,0.0,8.3125,8.1875,8.1875,2.959338426589966,158400
1976-01-30,0.0,8.125,8.0,8.0,2.8915669918060303,304400
1976-02-02,0.0,8.25,8.125,8.125,2.9367480278015137,73600
1976-02-03,0.0,8.28125,8.15625,8.15625,2.948042869567871,66800
1976-02-04,0.0,8.375,8.25,8.25,2.9819271564483643,184000
1976-02-05,0.0,8.3125,8.1875,8.1875,2.959338426589966,64800
1976-02-06,0.0,8.15625,8.03125,8.03125,2.902862787246704,72000
1976-02-09,0.0,8.25,8.125,8.125,2.9367480278015137,42800
1976-02-10,0.0,8.15625,8.03125,8.03125,2.902862787246704,91200
1976-02-11,0.0,8.1875,8.0625,8.0625,2.914156675338745,28800
1976-02-12,0.0,8.25,8.125,8.125,2.9367480278015137,131200
1976-02-13,0.0,8.25,8.125,8.125,2.9367480278015137,20400
1976-02-17,0.0,8.1875,8.0625,8.0625,2.914156675338745,36000
1976-02-18,0.0,8.15625,8.03125,8.03125,2.902862787246704,79600
1976-02-19,0.0,7.96875,7.84375,7.84375,2.835089921951294,159600
1976-02-20,0.0,8.0625,7.9375,7.9375,2.8689770698547363,388000
1976-02-23,0.0,8.0625,7.9375,7.9375,2.8689770698547363,223600
1976-02-24,0.0,8.1875,8.0625,8.0625,2.914156675338745,114800
1976-02-25,0.0,8.25,8.125,8.125,2.9367480278015137,96400
1976-02-26,0.0,8.125,8.0,8.0,2.8915669918060303,248400
1976-02-27,0.0,7.96875,7.84375,7.84375,2.835089921951294,124000
1976-03-01,0.0,7.9375,7.8125,7.8125,2.823796510696411,76000
1976-03-02,0.0,7.96875,7.84375,7.84375,2.835089921951294,70800
1976-03-03,0.0,7.84375,7.71875,7.71875,2.7899105548858643,44400
1976-03-04,0.0,7.84375,7.71875,7.71875,2.7899105548858643,57200
1976-03-05,0.0,7.8125,7.6875,7.6875,2.7786145210266113,45200
1976-03-08,0.0,7.90625,7.78125,7.78125,2.8125009536743164,27600
1976-03-09,0.0,8.0625,7.9375,7.9375,2.8689770698547363,37200
1976-03-10,0.0,8.15625,8.03125,8.03125,2.902862787246704,85200
1976-03-11,0.0,8.4375,8.3125,8.3125,3.004518985748291,150800
1976-03-12,0.0,8.4375,8.3125,8.3125,3.004518985748291,92400
1976-03-15,0.0,8.25,8.125,8.125,2.9367480278015137,89200
1976-03-16,0.0,8.3125,8.1875,8.1875,2.959338426589966,50800
1976-03-17,0.0,8.3125,8.1875,8.1875,2.959338426589966,86400
1976-03-18,0.0,8.3125,8.1875,8.1875,2.959338426589966,93600
1976-03-19,0.0,8.3125,8.1875,8.1875,2.959338426589966,26800
1976-03-22,0.0,8.3125,8.1875,8.1875,2.959338426589966,28800
1976-03-23,0.0,8.59375,8.46875,8.46875,3.0609943866729736,210000
1976-03-24,0.0,8.65625,8.53125,8.53125,3.083585023880005,137600
1976-03-25,0.0,8.78125,8.65625,8.65625,3.128765821456909,124000
1976-03-26,0.0,8.625,8.5,8.5,3.072291374206543,70000
1976-03-29,0.0,8.5,8.375,8.375,3.027108669281006,33600
